comp	usubs	uniprot	avgcoex	def	species
1181	80	Q9NW64	NA	ED	human
1181	80	P62308	NA	ED	human
1181	80	P42285	NA	UN	human
1181	80	O43390	NA	UN	human
1181	80	Q86V81	NA	UN	human
1181	80	Q13523	0.294	ED	human
1181	80	O94906	NA	UN	human
1181	80	O60306	0.241025316456	NA	human
1181	80	Q96BP3	NA	NA	human
1182	6	O43660	NA	UN	human
1182	6	P11142	NA	UN	human
1182	6	Q99459	0.31656	NED	human
1182	6	Q92616	NA	UN	human
1182	6	Q9UMS4	NA	ED	human
1182	6	O75934	NA	UN	human
1183	30	O75533	NA	UN	human
1183	30	Q9P013	NA	NA	human
1183	30	P11142	NA	UN	human
1183	30	Q12905	NA	UN	human
1183	30	Q14204	NA	NED	human
1183	30	Q9UMS4	NA	ED	human
1183	30	O75934	NA	UN	human
1183	30	Q7L1Q6	0.264965517241	UN	human
1183	30	Q01130	NA	NA	human
1183	30	P62136	NA	ED	human
1183	30	Q9UPN6	NA	NA	human
1183	30	P62316	NA	UN	human
1183	30	P38159	NA	UN	human
1183	30	P09661	NA	UN	human
1183	30	P11388	0.217017241379	UN	human
1183	30	P62318	NA	NA	human
1183	30	O43660	NA	UN	human
1183	30	A8K8P3	0.0813137931034	NA	human
1183	30	Q99459	0.294324137931	NED	human
1183	30	Q92616	NA	UN	human
1183	30	P78527	NA	NED	human
1183	30	Q8IYB3	NA	NA	human
1183	30	Q15427	NA	UN	human
1183	30	P62314	NA	ED	human
1183	30	O15297	0.165679310345	NA	human
1183	30	Q13435	NA	UN	human
1183	30	P23246	NA	UN	human
1183	30	P09012	NA	UN	human
1183	30	P15884	0.0797379310345	NA	human
1183	30	Q07955	NA	UN	human
1185	4	O00443	NA	NA	human
1185	4	P04626	NA	NA	human
1185	4	P00533	NA	UN	human
1185	4	O00750	NA	NA	human
1186	10	Q9HD42	NA	NA	human
1186	10	Q9UQN3	NA	NA	human
1186	10	Q96CF2	0.101666666667	NA	human
1186	10	Q96FZ7	0.0985	NA	human
1186	10	Q9Y3E7	NA	ED	human
1186	10	Q9BY43	NA	NA	human
1186	10	O43633	NA	ED	human
1186	10	Q9NZZ3	NA	NA	human
1186	10	Q9H444	NA	ED	human
1186	10	Q7LBR1	NA	NA	human
1187	3	Q86VN1	NA	NA	human
1187	3	Q96H20	NA	NA	human
1187	3	Q9BRG1	0.27915	UN	human
1189	7	P49917	NA	NA	human
1189	7	O60934	NA	NA	human
1189	7	Q92878	NA	NED	human
1189	7	Q13426	0.276333333333	NA	human
1189	7	P12956	NA	UN	human
1189	7	P13010	0.331033333333	UN	human
1189	7	P49959	NA	NA	human
1190	2	Q96P71	NA	NA	human
1190	2	Q09161	NA	UN	human
1191	5	P50750	NA	NA	human
1191	5	P19338	NA	UN	human
1191	5	O43719	NA	ED	human
1191	5	O00267	NA	ED	human
1191	5	P24928	NA	NED	human
1192	3	Q99816	0.2396	ED	human
1192	3	A5D8V6	NA	NA	human
1192	3	Q9UK41	NA	ED	human
1193	7	Q9NYB0	NA	ED	human
1193	7	Q15554	0.209566666667	NA	human
1193	7	Q92878	NA	NED	human
1193	7	P49959	NA	NA	human
1193	7	P12956	NA	UN	human
1193	7	P13010	0.33745	UN	human
1193	7	P09874	NA	ED	human
1194	12	Q8IWI9	NA	NA	human
1194	12	O75712	NA	NA	human
1194	12	O75461	NA	NA	human
1194	12	P61244	NA	NA	human
1194	12	Q9BYE7	0.135072727273	NA	human
1194	12	Q99496	NA	NA	human
1194	12	Q8IY57	NA	NA	human
1194	12	Q06587	NA	ED	human
1194	12	Q14186	0.166390909091	NA	human
1194	12	Q969R5	0.155209090909	NA	human
1194	12	Q96KQ7	NA	NA	human
1194	12	Q9H9B1	0.160809090909	NA	human
1195	2	Q8IYB3	NA	NA	human
1195	2	Q6P2Q9	NA	UN	human
1198	4	Q15554	0.2331	NA	human
1198	4	Q9BSI4	NA	NA	human
1198	4	Q9NUX5	NA	NA	human
1198	4	Q96AP0	NA	NA	human
1199	6	P46977	NA	NED	human
1199	6	P39656	NA	UN	human
1199	6	Q9H0U3	0.32948	NA	human
1199	6	P04843	NA	UN	human
1199	6	P61803	NA	NA	human
1199	6	P04844	NA	NA	human
12	3	Q86YV9	0.043	NA	human
12	3	Q9UPZ3	NA	NA	human
12	3	Q969F9	0.1411	NA	human
120	3	Q06643	NA	NA	human
120	3	P01374	NA	NA	human
120	3	P36941	NA	NA	human
1200	7	Q13454	0.0809833333333	NA	human
1200	7	P39656	NA	UN	human
1200	7	Q9H0U3	0.30095	NA	human
1200	7	P04843	NA	UN	human
